表示名,チャンネルID,参加配信数,総コメント数,初参加日,最終参加日,最終配信からの日数
@ヒースNo-gl2bj,UCSpBqAC8_OXKZT1eRvGQ7-Q,2,47,2025-05-29,2025-06-06,398
@メリ坊,UC4e8raVm-kQ0BSlNrpNEhPw,1,1,2025-06-06,2025-06-06,398
@れたれた_ch,UC4KTpSk89gjBIELnKRwBv3Q,3,76,2025-05-30,2026-02-13,146
@冨田孝寛とみだたかひろ,UCQ1nedOBYZMtlr5hcQ4FgTg,1,3,2026-02-17,2026-02-17,142
@まな板パツキンおじさん校長,UCPy5FvCUulqiNuxjD3pRf4Q,2,19,2026-02-17,2026-02-24,135
@天使長Michael-ミカエル,UCb6bDUMvP_XeY0vH4O3GxlQ,1,1,2026-02-24,2026-02-24,135
@無言-b7k,UCqp190luXR1xELGm_5-KCow,1,1,2026-02-24,2026-02-24,135
@タヌちゃんhomura,UCVHPdRSzQB73OlWGp1gcFjA,3,31,2026-01-24,2026-02-25,134
@おつる-e2n,UCT6bv38h40W8dJ-cLI9diUA,1,17,2026-02-25,2026-02-25,134
@ぼっち_よっち,UCuIy2FAECL1fYL8bXbjlRYQ,1,36,2026-02-25,2026-02-25,134
@nasty_nsroom1990,UCxAojUde_Niu4z7QM23k3pQ,1,2,2026-02-25,2026-02-25,134
@さやさん-n2o,UCDtyIS54Dp40fDKYz4loZNA,3,46,2025-05-29,2026-02-27,132
@くろもち-j9h,UCH5-YiYC0jHiztUDWB80A5A,2,13,2026-02-17,2026-02-27,132
@RAY---RAY,UCL0A17vDqFSoyKfswUSkuKw,1,3,2026-02-27,2026-02-27,132
@ヒーロー好き-j6i,UCkJbhOpDn3b8knd_isDBj6g,1,1,2026-02-27,2026-02-27,132
@恵輔-w6s,UCrn7WdSz3C_8IiNzMDtlvzA,1,8,2026-02-27,2026-02-27,132
@夢希望-p5q,UCRvZ2difrKZGY6jXw4DvqDw,5,51,2026-02-19,2026-03-01,130
@リーヤ_liya,UCe8t0cCuoxe2x1QpmHKKOxw,1,2,2026-03-01,2026-03-01,130
@chan-mio,UCnMMr0qdMeMUuXq7imiTO0w,4,42,2026-02-24,2026-03-04,127
@MEIKOSAMA,UC1YiVnawJZhfZE2YyGIZYQg,1,11,2026-03-04,2026-03-04,127
@アリサトミナト,UCMbydDcf2s-C8kqyxfKIZKA,1,1,2026-03-04,2026-03-04,127
@イガワシゲル,UCrpZg4aMZF44QcgriU45AEA,1,1,2026-03-04,2026-03-04,127
@ふりこみウーラ,UCdIXpzvj6sT2ywLWRIbNuAA,1,3,2026-03-05,2026-03-05,126
@石津浜,UC2CQrvOLPBCBuXEJofjceAg,1,30,2026-03-08,2026-03-08,123
@如城皐月_ゆきしろさつき,UC-JtYNMfdwcLvxeZu_VO6Bw,1,5,2026-03-09,2026-03-09,122
@バナナフィッシュ-v7t,UC-c5ufeJz3_dlW0290u2dVw,1,2,2026-03-09,2026-03-09,122
@かいしん1,UC6ieTkUdoTpDTp6YQvToFhg,1,2,2026-03-09,2026-03-09,122
@フランドールスカーレット-0,UCFUlq26UDMghGoYUGPrbWWA,1,2,2026-03-09,2026-03-09,122
@ゆかりん-n8m,UCGQwtvoqxcLa3W__bz6Jmkg,1,2,2026-03-09,2026-03-09,122
@strudel_ai_music,UCNrfs4rv3yY_Z4KVNv6glsg,1,5,2026-03-09,2026-03-09,122
@SuzukiNaoki_RMU,UCYFk4E4rFwwJ8SfsQlBRzLw,1,3,2026-03-09,2026-03-09,122
@y_kasugano,UCizyAlk1gyf_rYBVWa35QEw,1,14,2026-03-09,2026-03-09,122
@鈴木康修-u4d,UCzrdrmGDJxohu6qCv0axyEg,1,4,2026-03-09,2026-03-09,122
@CPUかっこ普通とじる方のかっこ,UCbwxyE5CKm1ke7laFzwRy9Q,1,3,2026-03-11,2026-03-11,120
@Mタカ-w1e,UChmntZB4vuEfGBOpXjOoObg,1,4,2026-03-11,2026-03-11,120
@Dontlookback-x4y,UC4XhebSmr1YxYf0ZnZv06ag,3,7,2026-03-09,2026-03-14,117
@TAIDASETO,UC0eNkzwlBjIci-AEUs0WAzA,1,2,2026-03-14,2026-03-14,117
@月海-つくみ,UCcU3H8bcJVCT_OnoRdhClag,1,5,2026-03-14,2026-03-14,117
@命ゆんみちゃん,UCjqsYwig3EnyB9hDcZfIR3w,2,13,2026-03-13,2026-03-17,114
@はちまんvt,UC1mLzv6gsC9O_YXA1wvu3iw,1,2,2026-03-17,2026-03-17,114
@こっぱみじんこ視聴用,UC75V8zKqWHaKKzXvyAjmJcQ,1,1,2026-03-17,2026-03-17,114
@因幡朔夜-v4r,UCWVwjG3TzN28XLR1yHZbmHg,1,7,2026-03-17,2026-03-17,114
@茅原颯真,UCrrBSI1LaprjgoU53cXgp9w,3,14,2026-03-09,2026-03-19,112
@サターン-e5q,UCcdUey3ough6JUoebo3UZBg,1,4,2026-03-19,2026-03-19,112
@yusuke3232,UCZPJc--G7JxxijNRNkdO5iA,5,35,2026-03-11,2026-03-22,109
@cherry_blossom__ice-cream,UCzMsQmXrk7Gt5BxR8vQC6fQ,2,21,2026-03-09,2026-03-24,107
@はるきち-haru,UC7_B2zeq2k_HXn5lVlW6ZMQ,1,7,2026-03-24,2026-03-24,107
@xqjmvm,UC9cvGTx9i9OrQJQBDBk4d0Q,1,2,2026-03-24,2026-03-24,107
@aoat5661,UCVp_DOqPRIZgw_d_oVaG6Bg,1,2,2026-03-24,2026-03-24,107
@いっしーとぬいぐるみの生活,UCZqxyOSodgB204P1fCQXFwA,8,68,2026-02-27,2026-03-25,106
