表示名,チャンネルID,参加配信数,総コメント数,平均コメント数,初参加日,最終参加日
@りこる_R1col,UCWx0F5KPUvK4JeqKVOEQYuQ,72,1996,27.7,2026-03-17,2026-07-09
@まなまま-m1q,UCKNMC9hFRHBkP89bQOwKs7w,45,326,7.2,2026-03-27,2026-07-05
@タマゴ-o2u,UChNwPrmVOuIJIppmbWffQgw,35,1726,49.3,2026-02-11,2026-06-28
@黒猫のミク,UCwNcvh_7_jHO20zsqt1mEuQ,29,625,21.6,2026-05-22,2026-07-07
@ちよさんtiyosann,UC3YVF4qop5WXZNs2jZOo8YQ,29,68,2.3,2026-04-29,2026-07-09
@koniよっぱっぱ,UCUYom6ifrK2gBmyXv3O-nuQ,28,1085,38.8,2026-02-24,2026-07-09
@すまない革命ザンジバル,UCbnEgiPHl7i7HJQs8j4YYgw,21,302,14.4,2026-03-06,2026-05-28
@くーも-o5z,UCmJyKfhBR19F9lhjj61tT8A,21,69,3.3,2026-03-22,2026-07-09
@タマゴ-d9o,UCw_sb9x_Qtg0Ff4PFoVaUtw,20,1092,54.6,2026-02-17,2026-07-05
@チョコボールの中身がなめこ,UCy_LcJJrkwRRNrf3uQtFy1A,19,201,10.6,2026-03-05,2026-07-09
@縞島マキナ,UCB66VUs0q5XpP0U06KFrofg,18,544,30.2,2026-03-17,2026-06-27
@ジャガーのYouTube,UCVsHcJHZfMN4Wg7qG909FqA,16,113,7.1,2026-03-24,2026-06-12
@にゃきひろ,UC5Ne2Z20xVAC_aGsZWiadzQ,16,104,6.5,2026-03-25,2026-07-09
@わたやん-かおぉーん,UCjXROz9Cm7YCR4_fIdv5g1w,15,287,19.1,2026-03-22,2026-06-30
@霧ヶ崎伽耶,UCZuGJDZ6m5HS-DXnQYancgg,13,139,10.7,2025-06-06,2026-06-15
@Wattson.,UC57_AYh1RptNicbkAkhVpYA,13,61,4.7,2026-05-16,2026-07-04
@VFジン,UCQdlQA2ImGCdPsM9pcemx9Q,13,31,2.4,2026-03-19,2026-06-27
@夜月黒音,UCsas9T_6aroQPmLJrWcpTzg,12,623,51.9,2026-03-09,2026-03-31
@Irfan-Siluman-ular-putih,UC5K8NfZBNuLJe3HjBjSSoRA,12,49,4.1,2026-03-11,2026-06-07
@Virgoヴァルゴ,UCjWy5bFTwbdIRA3GIHBCBzw,11,214,19.5,2026-04-29,2026-06-21
@プルーgsr,UC_z5plevJ1S3kWS33XH8XHg,11,38,3.5,2026-03-25,2026-06-30
@しーしゃこ,UCS0e-4LYllps2-er2ItyTcg,10,160,16.0,2026-05-22,2026-06-27
@くうパン-p2n,UCvlz81LTcUqKMiOF4rSOCtQ,10,61,6.1,2026-05-01,2026-06-15
@さんちゃん-229,UCP8jV91iG7km-_S-iaglrZg,10,31,3.1,2026-02-11,2026-07-07
@Massachu_setts,UC40zLnwjYU6wjOcQOeEdInA,10,11,1.1,2026-03-09,2026-07-07
@時カケル,UCTMFNzZmetuVA1KCn8C0vEg,9,101,11.2,2026-04-14,2026-05-29
@戦術人形使い,UCD32e6s9D9CKp8OxLFEG06Q,9,81,9.0,2026-05-25,2026-07-09
@セグナ-12,UC37r--nW8O3K5s0xbPLFbrQ,9,23,2.6,2026-03-08,2026-04-13
@youra0526,UC-rpgFTToH_bDZb1IXdq6CQ,8,163,20.4,2026-04-13,2026-06-24
@いっしーとぬいぐるみの生活,UCZqxyOSodgB204P1fCQXFwA,8,68,8.5,2026-02-27,2026-03-25
@レイゼスリュウセイ,UC2aVUCwJPXGMIqhBMGhsNCQ,8,63,7.9,2026-06-04,2026-07-07
@銀次ぎんじ,UCCROkapw3cU-21BivEKeFSw,7,183,26.1,2026-02-24,2026-05-01
@爛月x,UCb0xP1YBcekyyq5ZYwqa-EQ,7,154,22.0,2025-05-29,2026-06-17
@アズカバン在住のバケモノ,UCgpGiwZW3Wt2g7UOoQVYyFQ,7,149,21.3,2026-06-28,2026-07-09
@ツァイトv,UCQjwtNGLj65bpMSqgtgyWBg,7,86,12.3,2026-02-17,2026-04-24
@37を,UCr-b6tv2vVAfIt68Jz8KkPA,7,71,10.1,2026-05-04,2026-06-27
@高山紗英_マルジャン戦士Vt,UCNTJLldLIThSvD5U496SHPw,6,6,1.0,2026-03-09,2026-07-07
@夢希望-p5q,UCRvZ2difrKZGY6jXw4DvqDw,5,51,10.2,2026-02-19,2026-03-01
@yusuke3232,UCZPJc--G7JxxijNRNkdO5iA,5,35,7.0,2026-03-11,2026-03-22
@夜珀えいり,UCU-XEr0eiCBqIPxEeVigUnQ,5,13,2.6,2026-04-29,2026-07-07
@十六夜棗,UCUJ9Ti2macjAL8A6B-s8hKg,4,50,12.5,2026-02-25,2026-03-31
